,matchId,hour,day,month,release,playerPuuid,LastRoundAlive,playerEndingGame,EndGameTime,Ctype1,TierC1,Ctype2,TierC2,Ctype3,TierC3,Ctype4,TierC4,Ctype5,TierC5,Ctype6,TierC6,Ctype7,TierC7,Ctype8,TierC8
0,EUW1_4626843570,19,27,5,10.10,YMaxBk_oc1r17xqOoQNRHj8UMSFBWfqEzWcsdzCyJ95yDEfytfRthQAzm12mf0UJeH2feuu_NKke4A,38,2,2138.01025390625,Chrono,1,Demolitionist,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Sniper,1,Valkyrie,1,-,-
0,EUW1_4626843570,19,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,38,1,2138.01025390625,Chrono,1,Mercenary,1,Protector,3,Set3_Celestial,2,SpacePirate,1,Vanguard,1,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,dlstXoR0LvdD5AkKy8IBaC6ujWiEuekOXTcYmUAZ32qqkv1dLGbWzxmx89FKo-81f7PuiKLzroqBCw,23,8,1315.1031494140625,Demolitionist,1,Infiltrator,1,-,-,-,-,-,-,-,-,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,krhfI9i41w4ZTzkhivjUQbH_3HLuqg1TcwVWPW6culfa9czBG7yeVupOLa8Yb5XJQGavshqJnNVLrw,30,6,1698.315185546875,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Mystic,1,-,-,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,bRkTP7P-1kklcZOB6zQf7nLX-HeEW53uRmB6FcrDyGJTcunxWCRqWWjyf3vrGrfWz5j8ItXEzqVc0w,37,3,2071.423583984375,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Brawler,1,Set3_Mystic,1,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,3Md3BtQAjkaRuVxeIV-tGlqwAtfvP6t49lZYgMu8UR-j5fJRtZe3hHMVMh38AjWitTH7gpH7qpUwVQ,35,4,1980.931396484375,Chrono,1,ManaReaver,1,Protector,1,Set3_Blademaster,1,Set3_Celestial,2,Sniper,1,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,T9sYxJhppcvlXNLvWFkHLugKK8LzvjU29ORODpgeUkWpYO3DY_cO28rSus44WI3Gqx0X1KOLEu2o4g,33,5,1862.2501220703125,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Mystic,1,Starship,1,-,-,-,-
0,EUW1_4626606797,18,27,5,10.10,UmNf3idkj6_t6YWStpOlSSFc0QtjRZ1O7KfsbUSSwHS8a8mjrdkKAcPVIgZj-rfGtep3J4zxIQ87gA,34,5,1853.8572998046875,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Brawler,1,Set3_Celestial,1,Valkyrie,1,-,-
0,EUW1_4626606797,18,27,5,10.10,dlstXoR0LvdD5AkKy8IBaC6ujWiEuekOXTcYmUAZ32qqkv1dLGbWzxmx89FKo-81f7PuiKLzroqBCw,35,3,1913.254638671875,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,-,-,-,-,-,-,-,-
0,EUW1_4626606797,18,27,5,10.10,7uF64YmJqGJxYF340mGURV0bKfo92gQ-b70G6h8MWYv_0IPDsKAZ3jT1fH8s5930749_ukzQE85HLw,40,1,2140.973388671875,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,1,Set3_Brawler,2,Valkyrie,1,-,-,-,-
0,EUW1_4626606797,18,27,5,10.10,QBVyv0bIBqfN_oKSRxd7Qutjoyf6Gf8o70zHfR8PrAyKG_a-tS5_RP5tMSbpdgrS4PCXMhNUfwL5JA,33,6,1797.9876708984375,Chrono,1,Demolitionist,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Sniper,1,-,-
0,EUW1_4626606797,18,27,5,10.10,1Ft-QTEelPYE3ACq9cCvUXBxzkkUl8BVgtXr_0TFZnGGkeF5SHn8PdeUDqFd5Upkwcxr0_BQWSlxDw,31,8,1694.0362548828125,Blaster,1,Mercenary,1,Rebel,1,Set3_Mystic,1,Sniper,1,Starship,1,-,-,-,-
0,EUW1_4626606797,18,27,5,10.10,ZfWz4urMqmtrtMKvGv3qEKRLoG8pC3SJuitGcYOSTaplts7gWSfsTRv0lwkmQqGZQudQji77pQ-BtQ,40,2,2140.973388671875,Chrono,1,Protector,1,Set3_Blademaster,1,Set3_Celestial,2,-,-,-,-,-,-,-,-
0,EUW1_4626606797,18,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,35,4,1908.15185546875,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1,-,-
0,EUW1_4626606797,18,27,5,10.10,YMaxBk_oc1r17xqOoQNRHj8UMSFBWfqEzWcsdzCyJ95yDEfytfRthQAzm12mf0UJeH2feuu_NKke4A,31,7,1697.6669921875,Chrono,1,Cybernetic,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,Vanguard,1,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,2_wnpGsOb5rEpGtdeRMk2Qoe1LSqri1yTbTKh77-VDxyKRTkBYvAz-5hr5IqQ2U06d8twSN7LkTLgQ,35,3,1967.7530517578125,DarkStar,1,Infiltrator,2,MechPilot,1,Set3_Sorcerer,1,Valkyrie,1,-,-,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,RlogCKrQiDQjjW6mn5PbR5QMGo9CfaGkE6OjhVc3wLV8XsU5e0DkTM5Bhap37z-hF710RTE5yy92IA,33,7,1835.0030517578125,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Mystic,1,Starship,1,-,-,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,5mf7q3LcDnjbIgUsT8y6ogdPzZqxEaE12k_eMBIsaPQBVkIcAmnNHkavK4PFlVEgg_-cLhZGmrcqbA,33,6,1835.150146484375,Chrono,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Sorcerer,1,-,-,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,6UbWRq9lV9d0wVmGylP42DmGCPosu6RlQsOdICgHqWvzK-UFq7Bl5zbI1GimKClHw5YsLJfILWFa1Q,28,8,1575.4454345703125,Demolitionist,1,Mercenary,1,Set3_Celestial,1,Sniper,1,SpacePirate,1,Vanguard,1,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,nY6-u3AUEro0fYJdzLSuwFz2Z2jauYYa7fZxyAl6V3vI25RPExZgREuLyEcAx-xPcXUH9sSU-qzKew,41,2,2258.27880859375,Chrono,1,Protector,1,Set3_Blademaster,1,Set3_Celestial,2,Set3_Mystic,1,Sniper,1,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,41,1,2258.27880859375,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1,Vanguard,1
0,EUW1_4626477886,18,27,5,10.10,V4GlFEY5kBbUxB2FniYluwXqhKLfg4FbkLrBwjlRuHL8cs3Lr5p12JSgSACR56o-ZJMoMvqu71MeeQ,34,4,1905.5947265625,Chrono,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Vanguard,1,-,-,-,-
0,EUW1_4626477886,18,27,5,10.10,GEL6OAlRn6OGes7Xtn8sqF_kITcXoxtttY-jcB_hlbkGaFRsS1f5xaOWu_LZNdbiUDX6UEkhtUBVlg,34,5,1894.007080078125,Chrono,1,Mercenary,1,Set3_Sorcerer,2,SpacePirate,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,Ca3_UAiVOBK6GO1uu31u5vhgqP8wBLWGKp4opEJeuTKtgMjdqoDY5WBnMumkn5VqAp1DVEd1c9C6jA,26,8,1435.0277099609375,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Valkyrie,1,Vanguard,1,-,-
0,EUW1_4626412160,17,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,41,1,2247.596923828125,Chrono,1,ManaReaver,1,Protector,1,Set3_Celestial,2,Sniper,1,SpacePirate,1,Vanguard,1,-,-
0,EUW1_4626412160,17,27,5,10.10,z_VsfJllpuHxSDd21g_ET-e8Tu3qFNZOdjDtFZbcf8Z8tTEB_8fdLsokSBemBiYlYci1w67ltJl1SQ,41,2,2247.596923828125,Chrono,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,2,Set3_Mystic,1,Sniper,1,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,ea50LiLYJgF5GBi97DVlntUJRXYQ8KMZTn_RzP_Xf_BT1TYq_2v3B90OopJ9KvGdgbPG1cvkrsnnaA,35,4,1951.36328125,Infiltrator,2,MechPilot,1,Set3_Blademaster,1,Valkyrie,1,-,-,-,-,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,-3to15uUjeOneXycYfZw2aDG4QMWyhMIuJIzIWQpBwLchHjDDpfRGqimxzJMBMlkcvX9M-iAt1FI2Q,37,3,2030.1610107421875,Blaster,2,Chrono,1,Mercenary,1,Rebel,1,Set3_Brawler,2,-,-,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,f5hvjJdZmncYnJh1TfpQGmiNkvdJAp_dOEximZK4oRI1TK_laVQoA8aHh-clyMe0FDMmlewzVDTjkw,33,5,1824.3917236328125,Chrono,1,Cybernetic,2,ManaReaver,1,Set3_Blademaster,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,ROg6xkK69vurAPm1ECbRgHg80q3w2V-Aexa3lzFz9bx0cFgp8IJzuSAsqjucwIAZKq1tav4GX5CxZQ,28,6,1570.796875,Chrono,1,Infiltrator,1,Set3_Brawler,2,Set3_Sorcerer,1,Set3_Void,1,-,-,-,-,-,-
0,EUW1_4626412160,17,27,5,10.10,utts5BGcxU-5s4UUTVqPK24knPvgBDLrDAiR9JeBeglOtmSoTKkKQ8tEPKpY6AYV6fGAxw7MBlPHpg,28,7,1558.4776611328125,Infiltrator,2,MechPilot,1,-,-,-,-,-,-,-,-,-,-,-,-
0,EUW1_4626334422,16,27,5,10.10,z_VsfJllpuHxSDd21g_ET-e8Tu3qFNZOdjDtFZbcf8Z8tTEB_8fdLsokSBemBiYlYci1w67ltJl1SQ,38,1,2067.994873046875,Blaster,1,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1
0,EUW1_4626334422,16,27,5,10.10,3HMLg3eW6VFa5RvXdCHcl5rivlmY6hzmsCzmkw8fPE_CHdazg-jdkoGF-Jqh0hVWECrthVPdyJnG9A,38,2,2067.994873046875,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Mystic,1,Starship,1,-,-,-,-
0,EUW1_4626334422,16,27,5,10.10,Ca3_UAiVOBK6GO1uu31u5vhgqP8wBLWGKp4opEJeuTKtgMjdqoDY5WBnMumkn5VqAp1DVEd1c9C6jA,34,4,1877.002197265625,Blaster,2,Chrono,1,Mercenary,1,Rebel,1,Set3_Brawler,2,SpacePirate,1,Starship,1,-,-
0,EUW1_4626334422,16,27,5,10.10,4gGDZ15fyxkHq0nhZL14D8CS7TsUPxUlrxBKdZk4z8zK3944jgrmMQLjSBopucmfb-GbIF6GMRg4YA,34,5,1874.54931640625,Demolitionist,1,Mercenary,1,Set3_Celestial,1,Set3_Mystic,1,Sniper,1,SpacePirate,1,Vanguard,1,-,-
0,EUW1_4626334422,16,27,5,10.10,9BzjANsVVfuAx4RHzaCAUnjT9mMOnKCYFslG05Dot4KKFp_i3hXWs0epSENRcvA33zmcO7g33KPv-Q,30,6,1668.6705322265625,Demolitionist,1,Infiltrator,2,MechPilot,1,Set3_Sorcerer,1,-,-,-,-,-,-,-,-
0,EUW1_4626334422,16,27,5,10.10,ghjkQe66OmJL9V8hLJVLfWm5-U7R57cVr2hZEhKhM1uJ6_K8nhUwMVuh1JQC6xNSBlxOrPLLDo3Ayw,27,8,1498.765625,Infiltrator,1,Set3_Brawler,1,Set3_Void,1,-,-,-,-,-,-,-,-,-,-
0,EUW1_4626334422,16,27,5,10.10,FF2icBt0TOP9H3Iz-BPbdBWstGbMYchPLwOjj9b7E7gv1onsRNUiyry1h0giLS-VgeidO9efbawsdQ,28,7,1559.2137451171875,Blaster,1,Mercenary,1,Rebel,1,Starship,1,-,-,-,-,-,-,-,-
0,EUW1_4626334422,16,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,38,3,2067.25732421875,Chrono,1,Set3_Sorcerer,3,StarGuardian,1,Vanguard,1,-,-,-,-,-,-,-,-
0,EUW1_4626251610,16,27,5,10.10,uL6pz_H8mTSft_pnuC0-BIXgvkLaBa0c38rtY07Yby7U2u6Nw03iIS4KwbNdL10ywKpzEjxemvVLlw,37,2,2019.45751953125,Chrono,1,Infiltrator,1,Set3_Brawler,2,Set3_Sorcerer,1,Set3_Void,1,-,-,-,-,-,-
0,EUW1_4626251610,16,27,5,10.10,yvyCg4JzOvjzIVYt6970X84lgnDGR05gCgZOIiYXG66l0o8wdS8QzEF19WddCN-4U1ROs0IC5oh-Kg,24,8,1344.9283447265625,Chrono,1,Set3_Sorcerer,2,StarGuardian,1,Vanguard,1,-,-,-,-,-,-,-,-
0,EUW1_4626251610,16,27,5,10.10,MLWCst8U3wHwLbLI1anFiRnzz0vbadjBozdC0JwQjJ445f7GLVnpBd3lg-ep2mX2sYtRpqY1oppRAA,37,1,2019.45751953125,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Blademaster,1,Starship,1,Valkyrie,1,-,-
0,EUW1_4626251610,16,27,5,10.10,z_VsfJllpuHxSDd21g_ET-e8Tu3qFNZOdjDtFZbcf8Z8tTEB_8fdLsokSBemBiYlYci1w67ltJl1SQ,31,5,1740.3267822265625,Chrono,2,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Valkyrie,1,Vanguard,1,-,-
0,EUW1_4626251610,16,27,5,10.10,koCCwNL0t6vbWQmC_xqyskiTyFe_jsKGXVJbivDNgikCDNqfsRoqGnEYGUcZWS9Rge-sCFEw7VSwmw,26,7,1451.6077880859375,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Valkyrie,1,Vanguard,1,-,-
0,EUW1_4626251610,16,27,5,10.10,q_Md0_nx5uSqmuh-hEYJ7rvI11z7ndDuzht5tTjJu530ETm6iZPkjItwwEySQrWAGHakoaOPQ0EblA,33,4,1835.6236572265625,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1,Vanguard,1
0,EUW1_4626251610,16,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,33,3,1836.555419921875,Infiltrator,2,MechPilot,1,Set3_Sorcerer,1,Valkyrie,1,-,-,-,-,-,-,-,-
0,EUW1_4626251610,16,27,5,10.10,sygA7SkAFjNIgfOmSfWHbdb7eYwFqit9MXyGKXERX3LViI538UNrhe6URxcN0_E00oP_LL3GBB4gFA,28,6,1581.49951171875,Demolitionist,1,Mercenary,1,Set3_Brawler,1,Set3_Celestial,1,Set3_Mystic,1,Sniper,1,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,oGwhUX3DcrN2FNy0xBSBtHC1xCfA9H8N4EquUQXJZADTMGFL64dBwnUWD73BGjUNx1FGwUm-17ofgg,34,4,1856.68017578125,Chrono,1,ManaReaver,1,Set3_Celestial,1,Sniper,1,SpacePirate,1,Vanguard,1,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,bqz739zLil36rOs5-k0jqMwDaaq9oJI7m7q8bFviBOyeunjpaRUdRthp2DhdYeTLXAXv-xfeZurF9Q,33,5,1800.152099609375,Blaster,2,Chrono,1,Mercenary,1,Set3_Brawler,2,-,-,-,-,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,-3to15uUjeOneXycYfZw2aDG4QMWyhMIuJIzIWQpBwLchHjDDpfRGqimxzJMBMlkcvX9M-iAt1FI2Q,35,1,1918.7154541015625,Blaster,2,Chrono,1,Mercenary,1,Set3_Brawler,2,Valkyrie,1,-,-,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,k-mUx9Vke366NAENp_xYMiHsU0DswRFex5XhwjDn6SuQMglfhUt15Aca1Eqh-b-iqudZEA7qWqZi6g,35,2,1918.7154541015625,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1,-,-
0,EUW1_4626176133,15,27,5,10.10,sygA7SkAFjNIgfOmSfWHbdb7eYwFqit9MXyGKXERX3LViI538UNrhe6URxcN0_E00oP_LL3GBB4gFA,27,8,1489.6248779296875,Blaster,1,Chrono,1,Rebel,1,Set3_Brawler,2,Set3_Mystic,1,-,-,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,tIsarqngjtG1XsHIpOzIwAsytB1PtENaniNf8HK57Box_MJHDoZyAk4ex4gGzDQaHUHnxM1hsY5B_A,35,3,1917.489501953125,Chrono,1,DarkStar,1,Set3_Sorcerer,3,StarGuardian,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,31,6,1703.6221923828125,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Brawler,1,-,-,-,-,-,-
0,EUW1_4626176133,15,27,5,10.10,YAAog1Qdgw3H5-bBedecWwtBC2j-cSfRAJwYtHqM2Pi7Gtsz4SZhPRy2gJtXT3QsKgxBrRA79-EbJw,28,7,1552.37548828125,DarkStar,2,Set3_Celestial,1,Set3_Mystic,1,Set3_Sorcerer,1,Sniper,1,-,-,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,V4GlFEY5kBbUxB2FniYluwXqhKLfg4FbkLrBwjlRuHL8cs3Lr5p12JSgSACR56o-ZJMoMvqu71MeeQ,35,4,1974.5968017578125,Chrono,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Vanguard,1,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,4gGDZ15fyxkHq0nhZL14D8CS7TsUPxUlrxBKdZk4z8zK3944jgrmMQLjSBopucmfb-GbIF6GMRg4YA,28,7,1603.278564453125,Cybernetic,2,Infiltrator,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,-,-,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,YbdQvmPodimmBD9qh0yWgZ1wYae9m6TmF48pjSFdYHzhSN8WaZrcnTxNtBB5ZhBXugKAGR06fIWmCQ,31,5,1763.8070068359375,Chrono,1,Set3_Sorcerer,3,StarGuardian,1,Vanguard,1,-,-,-,-,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,TV6onFOU88IP26HkH0MXSoBNv5soCWZBEmESJlCP-NgtpR_Y4zJNdHLOZtGYCod-zwFVmbZT2NHiSg,31,6,1747.0655517578125,Demolitionist,1,Mercenary,1,Set3_Sorcerer,3,-,-,-,-,-,-,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,Ew_kxrwNci_S3NxmCTTPMNGia7scag7QQ2AZnANlzRKhTHHdb3hgmADZBYxd07-5GDvU2bbb_3FeXw,26,8,1469.265869140625,Chrono,1,Infiltrator,1,Set3_Brawler,1,Set3_Sorcerer,1,-,-,-,-,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,37,3,2054.540283203125,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,2,Set3_Celestial,1,Valkyrie,1,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,sygA7SkAFjNIgfOmSfWHbdb7eYwFqit9MXyGKXERX3LViI538UNrhe6URxcN0_E00oP_LL3GBB4gFA,37,2,2056.9931640625,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Blademaster,1,Set3_Mystic,1,-,-,-,-
0,EUW1_4626129469,15,27,5,10.10,HGb8YT6acDBgZIB5AmaVPYQ4nknt0PEIXvkuIn9A9GdLdQ7iQE00Sgh-4DzzH6Iq9-waEEg0mC9LZw,37,1,2056.9931640625,Chrono,1,Infiltrator,2,Set3_Brawler,2,Set3_Sorcerer,1,Set3_Void,1,-,-,-,-,-,-
0,EUW1_4624679581,17,26,5,10.10,6YH2muNCP1_dCuQooJmkRpGKm5JvNVHT0GhtsxP4gyq623ewrkFx0S_gFvGDVPYcKLDWMtFeEgaOCw,40,2,2105.2470703125,Infiltrator,1,Set3_Brawler,2,Set3_Void,1,-,-,-,-,-,-,-,-,-,-
